participant_id,Gender,Age,Ethnicity,Task_Order,Experimenter,Condition,Incentive ,Comments,Unnamed: 5,PI_Enticing,PI_Alive,PI_Safe,PI_Good,PI_Changing,PI_Hierarchical,PI_Understandable,PI_AboutMe,PI_Abundant,PI_Acceptable,PI_Beautiful,PI_Cooperative,PI_Funny,PI_Harmless,PI_Improvable,PI_Intentional,PI_Interconnected,PI_Interesting,PI_Just,PI_Meaningful,PI_NeedsMe,PI_Pleasurable,PI_Progressing,PI_Regenerative,PI_Stable,PI_WorthExploring,MAIA_Noticing,MAIA_NotDistracting,MAIA_NotWorrying,MAIA_AttentionRegulation,MAIA_EmotionalAwareness,MAIA_SelfRegulation,MAIA_BodyListening,MAIA_Trusting,PI_Beautiful_4_GE,PI_Regenerative_4_GS_R,PI_Good_1_G_R,PI_Understandable_4_G,PI_Stable_4_GS_R,PI_Regenerative_3_GS,PI_Understandable_2_G_R,PI_Cooperative_1_GS_R,PI_Abundant_2_GE,PI_Changing_5_R,PI_Acceptable_2_R,PI_Hierarchical_4,PI_Just_4_GS,PI_Meaningful_1_GE,PI_Changing_3,PI_Stable_1_GS_R,PI_NeedsMe_3_GA_R,PI_Enticing_1_GE,PI_Harmless_4_GS,PI_Harmless_3_GS,PI_Cooperative_4_GS,PI_Understandable_1_G,PI_Changing_1,PI_WorthExploring_1_GE,PI_Harmless_1_GS,PI_Harmless_2_GS_R,PI_Funny_1_GE,PI_Intentional_2_A,PI_Harmless_5_GS_R,PI_Just_2_GA,PI_Funny_2_GE,PI_Beautiful_1_GE,PI_Hierarchical_5,PI_Pleasurable_4_GS,PI_Interconnected_2_R,PI_Intentional_5_A_R,PI_Progressing_2_GS_R,PI_Hierarchical_3_R,PI_Interesting_1_GE_R,PI_Intentional_1_A,PI_Interesting_4_GE_R,PI_Abundant_4_GE,PI_Regenerative_1_GS,PI_WorthExploring_3_GE,PI_Stable_3_GS_R,PI_Progressing_1_GS_R,PI_Understandable_3_G_R,PI_Improvable_2_G_R,PI_Beautiful_2_GE_R,PI_Improvable_5_GE,PI_Meaningful_3_GE_R,PI_AboutMe_4,PI_Acceptable_4_R,PI_NeedsMe_4_GA,PI_Stable_2_GS,PI_Improvable_1_G,PI_Improvable_4_GE,PI_Funny_3_G_R,PI_Funny_4_GE,PI_WorthExploring_2_GE_R,PI_WorthExploring_4_GE,PI_Pleasurable_3_GS_R,PI_AboutMe_1_A,PI_Interesting_2_GE_R,PI_Progressing_3_GS,PI_Improvable_3_GE,PI_Pleasurable_1_GS_R,PI_Interesting_3_GE,PI_AboutMe_5_A,PI_Changing_2,PI_Hierarchical_1,PI_Just_5_GS_R,PI_NeedsMe_2_GA,PI_Hierarchical_2,PI_Pleasurable_2_GS,PI_Cooperative_3_GS_R,PI_Abundant_1_GE,PI_Enticing_2_GE,PI_Acceptable_1_R,PI_Pleasurable_5_GS,PI_Meaningful_4_GE_R,PI_AboutMe_2_A,PI_Abundant_3_GE_R,PI_Regenerative_2_GS_R,PI_Interconnected_4,PI_AboutMe_3_A_R,PI_Just_3_GS,PI_Interconnected_3,PI_Just_1_G,PI_Intentional_4_A_R,PI_Beautiful_3_GE,PI_Intentional_3_A,PI_Meaningful_2_GE_R,PI_Acceptable_3,PI_Progressing_4_GS,PI_Changing_4,PI_NeedsMe_1_GA,PI_Cooperative_2_GS_R,PI_Interconnected_1,MAIA_NotWorrying_5_R,MAIA_NotDistracting_1_R,MAIA_NotDistracting_2_R,MAIA_NotWorrying_1_R,MAIA_EmotionalAwareness_2,MAIA_SelfRegulation_3,MAIA_NotDistracting_6_R,MAIA_Noticing_1,MAIA_AttentionRegulation_3,MAIA_Trusting_1,MAIA_NotDistracting_3_R,MAIA_BodyListening_2,MAIA_NotDistracting_5_R,MAIA_Noticing_2,MAIA_Trusting_2,MAIA_AttentionRegulation_4,MAIA_EmotionalAwareness_5,MAIA_EmotionalAwareness_3,MAIA_Noticing_4,MAIA_NotWorrying_3,MAIA_Noticing_3,MAIA_SelfRegulation_2,MAIA_BodyListening_1,MAIA_NotWorrying_4,MAIA_AttentionRegulation_6,MAIA_EmotionalAwareness_4,MAIA_Trusting_3,MAIA_AttentionRegulation_7,MAIA_NotDistracting_4_R,MAIA_SelfRegulation_4,MAIA_AttentionRegulation_2,MAIA_EmotionalAwareness_1,MAIA_AttentionRegulation_1,MAIA_SelfRegulation_1,MAIA_NotWorrying_2_R,MAIA_BodyListening_3,MAIA_AttentionRegulation_5,IAS_16,IAS_14,IAS_5,IAS_10,IAS_19,IAS_15,IAS_20,IAS_18,IAS_8,IAS_3,IAS_9,IAS_11,IAS_4,IAS_21,IAS_6,IAS_17,IAS_2,IAS_1,IAS_7,IAS_13,IAS_12,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SampEn,HRV_HF,HRV_HFD,HRV_LFHF,HRV_IALS,HRV_Ca,HRV_AI,HCT_Accuracy,HCT_Sensibility,HCT_Awareness,HRV_MeanNN_HCT,HRV_SDNN_HCT,HRV_RMSSD_HCT
sub-124,Female,20.0,Caucasian,Questionnaire_First,Exp 8,Questionaire,Credits_4,"RS: RSP good clear peaks, ECG good, EEG good. TAP: Participant was tapping slowly during medium tap task and incredibly slowly during the slow tap task, muse froze at 02:50 during the TAP, participant didn't signify when trial ended, restarted the muse before the random tap task, froze again at around 36:40, restarted it before the heartbeat tap task.",,0.7655555555555557,0.6275,0.568,0.6360563380281691,0.8160000000000001,0.584,0.4649999999999999,0.616,0.54,0.2274999999999999,0.8025,0.4725,0.625,0.48,0.6460000000000001,0.7459999999999999,0.61,0.705,0.618,0.695,0.8,0.732,0.6649999999999999,0.575,0.4774999999999999,0.78,0.6625000000000001,0.3533333333333333,0.3239999999999999,0.4657142857142857,0.7779999999999999,0.645,0.6166666666666667,0.8700000000000001,0.81,0.18,0.08,0.64,0.66,0.5,0.67,0.73,0.68,0.21,0.63,0.58,0.6,0.36,0.81,0.64,0.25,0.67,0.55,0.22,0.68,0.58,0.81,0.75,0.41,0.4,0.53,0.63,0.38,0.69,0.58,0.8,0.27,0.72,0.25,0.34,0.34,0.34,0.25,0.74,0.28,0.66,0.8,0.79,0.48,0.33,0.69,0.54,0.2,0.56,0.12,0.66,0.77,0.83,0.69,0.83,0.68,0.28,0.67,0.22,0.8,0.2,0.64,0.27,0.72,0.7,0.27,0.62,0.74,0.86,0.68,0.59,0.81,0.73,0.8,0.7,0.13,0.78,0.89,0.61,0.05,0.65,0.31,0.22,0.61,0.61,0.77,0.43,0.62,0.29,0.8,0.99,0.41,0.2,0.61,0.81,0.81,0.36,0.65,0.53,0.63,0.69,0.66,0.92,0.7,0.61,0.9,0.12,0.89,0.62,0.5,0.63,0.62,1.0,0.59,0.76,0.66,0.26,0.24,0.87,0.6,0.65,0.23,0.29,0.86,0.72,0.63,0.7,0.69,0.62,0.69,0.39,0.59,0.66,0.7,0.62,0.67,0.31,0.66,0.19,0.81,0.77,0.64,0.28,0.26,0.78,0.08,0.91,0.64,0.61,0.43,0.82,0.76,0.67,0.92,0.61,0.68,815.6873935264055,52.31921394643519,37.05511414962364,1.7489798731401776,0.0055027405777262,1.8309992753081856,1.2516336639062668,0.5,0.5045591497750583,50.02043288011531,0.5085986168303241,0.6233333333333333,-0.6000000000000001,869.3336442310041,54.23323834462227,47.907529869995
sub-125,Female,19.0,Arab,Task_First,Exp 8,Task,Credits_4,"RSP some periods of clear peaks but fairly noisy throughout, ECG good throughout, increase in odd fluctuations during HCT, EEG during RS: TP9, AF7 & AF8 good, TP10 consistently noisy, during TAP: long periods of noise on TP9 & AF7, AF8 good throughout, TP10 consistently noisy, during HCT: TP9 some noise, AF7 & AF8 relatively good, TP10 consistantly noisy ",,0.8044444444444445,0.7825,0.3573333333333333,0.5705633802816901,0.766,0.3219999999999999,0.695,0.318,0.975,0.2799999999999999,0.8724999999999999,0.225,0.7175,0.044,0.622,0.948,0.9525,0.91,0.54,0.52,0.53,0.44,0.17,0.4549999999999999,0.4475,0.865,0.585,0.4100000000000001,0.564,0.5785714285714285,0.6960000000000001,0.6725,0.5466666666666666,0.8833333333333333,0.61,0.26,0.25,0.61,0.57,0.74,0.14,0.56,1.0,0.0,0.67,0.28,0.82,0.41,0.87,0.78,0.32,1.0,0.0,0.0,0.16,0.62,0.5,0.9,0.09,0.87,0.73,1.0,1.0,0.4,0.79,1.0,0.14,0.51,0.0,0.26,0.73,0.81,0.0,1.0,0.21,1.0,0.84,0.84,0.41,0.83,0.31,0.61,0.12,0.75,0.14,0.29,0.79,0.36,0.55,0.32,1.0,0.2,0.55,0.0,0.72,0.69,0.29,0.0,0.0,0.65,0.55,0.85,0.06,0.78,0.87,0.35,0.76,0.13,0.43,0.88,1.0,1.0,0.64,0.5,0.48,0.24,0.1,0.34,1.0,0.29,0.1,0.81,0.73,0.0,1.0,1.0,0.71,0.22,0.24,0.68,0.32,0.82,1.0,0.04,0.8,0.69,0.08,0.94,0.75,0.36,0.84,0.35,0.88,0.84,0.11,0.39,1.0,0.95,0.5,0.73,0.87,0.5,0.19,0.0,0.65,0.82,0.58,0.69,0.72,0.82,0.78,0.46,0.57,0.36,0.22,0.64,0.72,0.83,0.71,0.73,0.22,0.61,0.95,0.71,0.66,0.96,0.64,0.6,1.0,0.76,1.0,1.0,0.98,0.21,1.0,0.78,0.79,0.78,0.87,0.9,0.8,825.8534482758621,75.89542099257244,67.37876274015265,1.776550050564526,0.0310964378044147,1.8710114312079589,0.8206853001451869,0.4956521739130434,0.4697950875266886,50.15910039228587,0.5406297406297406,0.57,-0.1739313106957345,915.3960476983856,80.17319739063136,77.13461745366752
sub-126,Female,19.0,Mixed,Questionnaire_First,Exp 8,Questionaire,Credits_4,"RSP very noisy throughout, clear peaks on occasion. ECG generally good, some odd fluctuations, a bit noisy during TAP medium tap task, tried readjusting it before the slow tap task and again before the fast tap task. EEG good throughout, muse froze during heartbeat tapping task at around 12:10, restarted before HCT began.",,0.5522222222222223,0.43,0.458,0.5277464788732393,0.5319999999999999,0.61,0.4975,0.312,0.5674999999999999,0.31,0.6050000000000001,0.315,0.4225,0.4,0.5800000000000001,0.53,0.6175,0.5149999999999999,0.666,0.5775000000000001,0.5125,0.6079999999999999,0.5075000000000001,0.5075000000000001,0.375,0.645,0.655,0.345,0.48,0.4571428571428572,0.6839999999999999,0.735,0.2699999999999999,0.69,0.56,0.43,0.24,0.5,0.65,0.45,0.47,0.78,0.57,0.42,0.73,0.66,0.71,0.57,0.3,0.6,0.45,0.66,0.42,0.4,0.34,0.53,0.57,0.71,0.42,0.53,0.31,0.47,0.71,0.7,0.29,0.62,0.45,0.6,0.36,0.61,0.5,0.28,0.6,0.58,0.34,0.57,0.64,0.65,0.62,0.5,0.57,0.61,0.38,0.6,0.43,0.29,0.74,0.58,0.37,0.52,0.66,0.46,0.55,0.47,0.69,0.28,0.33,0.58,0.5,0.73,0.39,0.58,0.3,0.57,0.59,0.39,0.5,0.63,0.52,0.63,0.53,0.59,0.67,0.59,0.4,0.3,0.4,0.45,0.55,0.66,0.67,0.6,0.64,0.56,0.62,0.77,0.43,0.38,0.53,0.64,0.42,0.67,0.68,0.64,0.62,0.61,0.24,0.65,0.82,0.64,0.77,0.73,0.72,0.78,0.1,0.64,0.75,0.71,0.33,0.55,0.61,0.85,0.44,0.25,0.73,0.36,0.44,0.35,0.86,0.64,0.36,0.64,0.74,0.44,0.75,0.41,0.65,0.6,0.35,0.58,0.19,0.76,0.85,0.62,0.57,0.75,0.62,0.28,0.76,0.87,0.78,0.83,0.84,0.75,0.64,0.86,0.75,0.87,0.67,0.75,0.6,715.0895522388059,47.34312663481413,26.43474917841213,1.2797187784838964,0.0031458946315433,1.806962935881723,0.8763867172499794,0.3725490196078431,0.4972439402447982,49.70526416402152,0.7718498946294386,0.325,0.9276336570439174,864.1521767830278,81.81580291023438,77.05569205487933
sub-127,Female,20.0,Caucasian,Task_First,Exp 8,Task,Credits_4,"RSP some periods of clear peaks but noisy throughout, ECG good throughout, occasional odd fluctuations, EEG good throughout",,0.7311111111111112,0.4599999999999999,0.4526666666666666,0.5535211267605634,0.544,0.63,0.2875,0.3339999999999999,0.6025,0.28,0.5549999999999999,0.45,0.495,0.416,0.4679999999999999,0.596,0.5425,0.6874999999999999,0.692,0.7675000000000001,0.6599999999999999,0.64,0.37,0.4375,0.4125,0.765,0.6975,0.3966666666666665,0.426,0.4185714285714286,0.51,0.625,0.52,0.6833333333333332,0.74,0.4,0.2,0.11,0.67,0.65,0.63,0.52,0.37,0.22,0.77,0.6,0.78,0.77,0.58,0.66,0.35,0.87,0.39,0.62,0.54,0.23,0.39,0.7,0.31,0.63,0.63,0.67,0.61,0.69,0.39,0.36,0.67,0.64,0.34,0.76,0.65,0.35,0.31,0.68,0.32,0.75,0.61,0.8,0.73,0.68,0.56,0.68,0.3,0.57,0.25,0.57,0.65,0.61,0.71,0.28,0.4,0.61,0.57,0.25,0.81,0.22,0.24,0.22,0.43,0.77,0.25,0.6,0.24,0.58,0.67,0.38,0.73,0.56,0.4,0.62,0.61,0.59,0.64,0.63,0.27,0.27,0.32,0.59,0.4,0.65,0.72,0.68,0.65,0.4,0.42,0.79,0.18,0.18,0.38,0.39,0.65,0.6,0.43,0.73,0.68,0.78,0.39,0.22,0.77,0.62,0.75,0.22,0.72,0.68,0.14,0.55,0.68,0.71,0.5,0.69,0.63,0.64,0.65,0.72,0.59,0.81,0.29,0.38,0.21,0.62,0.59,0.31,0.38,0.26,0.8,0.6,0.76,0.69,0.61,0.38,0.28,0.61,0.67,0.78,0.79,0.75,0.38,0.68,0.4,0.63,0.66,0.8,0.3,0.61,0.57,0.86,0.82,0.37,0.74,0.29,0.24,721.1957831325301,43.733045380001926,29.32409785367875,1.540109953988949,0.0130802696592676,1.8002247228417705,1.5087807990178703,0.4946889226100151,0.4775165392217941,50.17495986084922,0.0,0.415,,734.7613558465401,35.48455146724897,24.143630357651165
sub-128,Female,20.0,Caucasian,Questionnaire_First,Exp7,Questionaire,Credits_4,"RS: EEG P9/10 hovered around 30, a few AF7 spikes around 4:45, RSP: seemed to be picking up heartbeats, ECG ok. TAP: Loosened RSP so heartbeat artifacts were reduced, ECG ok, adjusted EEG, now all good, some spikes at regular intervals at 3:30. HCT: EEG had some TP9/10 spikes, stopped at 1:45, ECG had some random negative spikes, RSP still picking up some heartbeat artifacts.",,0.7333333333333333,0.6525,0.4959999999999999,0.5504225352112677,0.876,0.2799999999999999,0.355,0.418,0.86,0.3,0.5475,0.395,0.2625,0.2259999999999999,0.638,0.8640000000000001,0.515,0.5725,0.704,0.8775000000000001,0.54,0.5239999999999999,0.25,0.54,0.7,0.7949999999999999,0.905,0.2783333333333333,0.344,0.6428571428571429,0.8219999999999998,0.66,0.6333333333333333,0.8733333333333334,0.71,0.21,0.76,0.25,0.32,0.72,0.3,0.36,0.92,0.0,0.7,0.39,0.79,0.8,0.82,0.33,0.59,0.93,0.09,0.58,0.21,0.06,0.84,0.76,0.21,0.75,0.08,0.96,1.0,0.79,0.31,0.37,0.33,0.67,0.28,0.0,0.86,0.89,0.36,0.7,0.34,1.0,0.75,0.83,0.26,0.71,0.59,0.37,0.62,0.65,0.17,0.41,0.71,0.39,0.71,0.57,0.79,0.63,0.29,0.15,0.74,0.62,0.39,0.35,0.33,0.55,0.36,0.34,0.41,0.84,0.3,0.35,0.76,0.27,0.59,0.63,0.81,0.67,0.75,0.34,0.12,0.34,0.29,0.16,0.45,0.46,0.67,0.39,0.62,0.34,0.73,1.0,0.0,0.36,0.24,0.88,0.6,0.64,0.5,0.64,0.65,0.72,1.0,0.67,0.74,0.62,0.95,0.77,0.89,0.86,0.57,0.82,1.0,0.85,0.63,0.73,1.0,0.78,0.2,0.89,0.39,0.59,0.41,0.61,1.0,0.88,0.63,0.66,0.76,0.65,0.71,0.6,0.75,0.25,0.74,0.61,0.66,0.81,1.0,0.86,0.8,0.82,0.94,0.29,0.79,0.92,1.0,0.92,0.96,0.67,0.76,1.0,0.84,0.89,0.97,0.8,0.79,771.061191626409,51.32831034715506,35.76001438803203,1.4359834868128043,0.0146605248086231,1.8513221078302635,0.7804364806578354,0.3915857605177993,0.4836826849414902,50.3087115572039,0.5674401056404451,0.1066666666666666,0.6667366910003157,799.9683029077963,43.39044795547019,34.39643638133365
sub-129,Female,19.0,Caucasian,Task_First,Exp7,Task,Credits_4,"RS: TP10 hovered around 60 but all other EEG channels ok, ECG had a bit of irregularity but still had clear peaks, RSP ok, Lux was incorrectly plugged into A4. TAP: TP10 hovered around 200 before settling at 100 but all other EEG channels ok, ECG ok, RSP ok, Lux was corrected. HCT: TP10 now hovering around 80, other EEG channels ok, RSP ok, ECG had clear peaks but some noise before and after.",,0.5377777777777778,0.5025,0.3713333333333333,0.4812676056338028,0.59,0.542,0.43,0.5700000000000001,0.6649999999999999,0.3075,0.545,0.3874999999999999,0.55,0.35,0.4659999999999999,0.502,0.57,0.515,0.4640000000000001,0.5449999999999999,0.4449999999999999,0.3759999999999999,0.385,0.4475,0.355,0.685,0.79,0.54,0.286,0.8114285714285714,0.8939999999999999,0.7799999999999999,0.44,0.7466666666666667,0.35,0.44,0.42,0.31,0.58,0.55,0.39,0.26,0.63,0.41,0.69,0.62,0.39,0.59,0.64,0.68,0.55,0.82,0.41,0.57,0.37,0.39,0.59,0.7,0.41,0.8,0.43,0.43,0.84,0.58,0.71,0.61,0.46,0.26,0.35,0.56,0.63,0.38,0.37,0.57,0.6,0.68,0.77,0.6,0.6,0.61,0.59,0.64,0.45,0.59,0.54,0.58,0.66,0.38,0.28,0.37,0.41,0.55,0.61,0.36,0.8,0.67,0.46,0.62,0.45,0.6,0.58,0.65,0.59,0.59,0.43,0.73,0.57,0.58,0.46,0.78,0.7,0.67,0.86,0.41,0.33,0.57,0.35,0.45,0.61,0.35,0.71,0.43,0.37,0.53,0.67,0.6,0.54,0.44,0.33,0.54,0.38,0.78,0.59,0.85,0.3,0.59,0.76,0.95,0.83,0.41,0.76,0.81,0.73,0.67,0.27,0.42,0.88,0.81,0.95,0.73,0.94,0.88,0.4,0.64,0.82,0.39,0.42,0.82,0.96,0.7,0.89,0.37,0.82,0.92,0.89,0.62,0.65,0.78,0.66,0.67,0.59,0.71,0.82,0.92,0.98,1.0,0.93,0.9,0.98,0.86,0.64,1.0,0.73,0.82,0.93,0.91,0.75,0.92,0.95,0.82,0.91,881.2292817679559,90.47116015594636,74.04930665102918,1.2927204779578112,0.0297657074239768,1.9252200599406697,0.9773349756829564,0.3505535055350554,0.5248529222638152,49.78043679446406,0.555733916033024,0.2816666666666667,0.2029198624783569,901.298657487308,77.98517772773168,68.46966828698262
sub-13,Female,23.0,Indian,Task_First,Exp1,Task,Money_10,AF7 unstable throughout; TP9 slightly unstable during TAP; EEG disco. and reco. during both TAP and HBC,,0.8633333333333333,0.81,0.5033333333333333,0.7101408450704226,0.764,0.554,0.585,0.18,0.9075,0.445,0.9,0.2774999999999999,0.6950000000000001,0.45,0.874,0.726,0.7975,0.865,0.6799999999999999,0.9975,0.79,0.638,0.635,0.4475,0.5225,0.96,0.7949999999999999,0.3916666666666666,0.6300000000000001,0.71,0.898,0.63,0.63,0.7433333333333335,1.0,0.16,0.03,0.51,0.48,0.72,0.28,0.49,0.88,0.23,0.88,0.56,0.94,1.0,0.92,0.43,0.0,1.0,0.5,0.5,0.37,0.82,0.6,1.0,0.5,0.54,0.69,0.29,0.71,0.85,0.81,1.0,0.32,0.5,0.0,0.18,0.36,0.15,0.0,0.71,0.2,1.0,1.0,1.0,0.5,0.49,0.71,0.37,0.4,1.0,0.0,0.0,0.44,0.8,0.5,0.79,0.95,0.46,0.74,0.1,0.94,0.5,0.09,0.31,0.88,1.0,0.19,0.97,0.0,0.63,0.54,0.5,0.69,0.5,0.5,0.89,0.96,0.91,0.4,0.88,0.0,0.2,0.21,0.33,0.89,0.39,0.61,0.3,0.5,0.19,1.0,1.0,0.01,0.5,0.51,0.9,0.67,0.88,1.0,0.3,0.61,0.39,0.36,1.0,0.62,0.93,0.87,0.96,0.64,1.0,0.29,0.33,0.69,0.78,0.87,0.68,0.81,0.78,0.6,0.84,0.63,0.72,0.62,0.72,1.0,0.81,0.35,0.39,0.85,0.73,1.0,0.73,0.42,0.41,0.88,0.61,0.17,0.81,0.64,0.4,1.0,0.78,0.37,0.85,0.4,0.72,0.39,0.87,0.33,0.4,0.79,0.79,0.63,0.85,1.0,0.36,0.87,724.8782148260212,56.72078671791528,40.24685664368051,1.1649963963030951,0.0189288335088093,1.8701637613061264,0.2485990225243236,0.3384146341463415,0.5227564143011036,50.20266621976259,0.4481064222235699,0.8066666666666666,-0.753702346348183,790.8935358445702,39.587820091487686,39.89254020148221
sub-130,Female,20.0,Caucasian,Questionnaire_First,Exp7,Questionaire,Credits_4,"RS: ECG a bit irregular but clear peaks, EEG TP10 hovered around 50 but other channels ok, RSP ok. TAP: EEG TP10 hovered around 40 but other channels ok, ECG less noisy, clear peaks, RSP ok. HCT: ECG quite noisy but clear peaks, EEG TP10 hovered around 50 but other channels ok, RSP ok, recording continued for a few minutes after end of task",,0.6811111111111111,0.39,0.6279999999999999,0.6342253521126759,0.7939999999999999,0.45,0.47,0.598,0.8174999999999999,0.3925,0.775,0.7475,0.5325,0.588,0.6540000000000001,0.354,0.5675,0.8300000000000001,0.6439999999999999,0.43,0.5625,0.752,0.43,0.4175,0.5075,0.8674999999999999,0.6775,0.3783333333333333,0.236,0.5157142857142857,0.746,0.5575,0.6666666666666666,0.71,0.97,0.65,0.24,0.54,0.54,0.58,0.65,0.11,0.8,0.29,0.7,0.39,0.69,0.38,0.76,0.32,0.46,0.77,0.44,0.67,0.56,0.46,0.85,0.86,0.59,0.42,0.53,0.44,0.34,0.56,0.54,0.61,0.53,0.75,0.4,0.75,0.58,0.53,0.18,0.49,0.13,0.92,0.67,0.83,0.54,0.58,0.47,0.28,0.31,0.81,0.39,0.57,0.46,0.56,0.43,0.66,0.6,0.46,0.52,0.2,0.98,0.05,0.58,0.19,0.43,0.48,0.27,0.82,0.63,0.84,0.4,0.29,0.59,0.46,0.73,0.22,0.75,0.76,0.61,0.6,0.57,0.59,0.2,0.43,0.57,0.38,0.78,0.54,0.48,0.85,0.83,0.44,0.7,0.34,0.45,0.81,0.56,0.24,0.56,0.84,0.64,0.63,0.86,0.71,0.62,0.8,0.72,0.41,0.74,0.57,0.57,0.62,0.75,0.73,0.68,0.69,0.77,0.63,0.42,0.61,0.43,0.69,0.26,0.39,0.86,0.66,0.57,0.47,0.73,0.46,0.7,0.54,0.45,0.8,0.74,0.56,0.81,0.83,0.83,0.6,0.8,0.84,0.85,0.66,0.55,0.55,0.78,0.83,0.75,0.82,0.75,0.87,0.79,0.6,0.67,0.82,0.72,906.0274102079396,57.2542236193763,39.22101926611198,1.4344494030069377,0.0079731015170554,1.8039175487647672,1.4574859811086918,0.51434034416826,0.433988209026971,50.74036798763202,0.5930456398294103,0.245,0.0735294117647058,943.606407970344,36.97805559358336,27.82727193547356
sub-131,Female,22.0,Asian,Task_First,Exp7,Task,Credits_4,"RS: ECG mostly good, one or two irregular peaks, RSP good, EEG all channels good. TAP: ECG a bit noisy at points but clear peaks, RSP ok, EEG TP9/10 were spiking, likely due to blinking artifacts (observed during setup too), muse stopped at 7:30, on at 8:30, then off again at 14:30, LUX was slightly loose during normal and slow task. HCT: EEG continued to have TP9/10 spikes, ECG mostly ok, a few instances of noise before and after R-peaks, RSP ok.", ,0.5888888888888889,0.535,0.3886666666666666,0.5602816901408451,0.7,0.578,0.3125,0.686,0.725,0.4375,0.66,0.37,0.58,0.352,0.702,0.772,0.7,0.76,0.642,0.435,0.5850000000000001,0.6,0.31,0.3475,0.405,0.92,0.625,0.21,0.6199999999999999,0.5871428571428572,0.742,0.645,0.4033333333333333,0.7666666666666666,0.86,0.39,0.27,0.24,0.84,0.93,0.59,0.61,0.63,0.58,0.73,0.75,0.78,0.55,0.83,0.62,0.58,0.99,0.36,0.4,0.34,0.29,0.7,0.91,0.38,0.73,0.67,0.87,0.65,0.76,0.39,0.78,0.37,0.51,0.27,0.58,0.66,0.58,0.08,0.92,0.29,0.83,0.55,0.95,0.69,0.88,0.69,0.21,0.74,0.66,0.22,0.82,0.38,0.62,0.77,0.7,0.73,0.33,0.59,0.13,0.95,0.39,0.62,0.32,0.38,0.63,0.39,0.73,0.64,0.78,0.61,0.33,0.67,0.74,0.65,0.56,0.77,0.94,0.75,0.62,0.75,0.72,0.33,0.74,0.74,0.37,0.35,0.6,0.65,0.33,0.74,0.98,0.84,0.61,0.4,0.77,0.63,0.69,0.73,0.32,0.87,0.78,0.12,0.38,0.62,0.56,0.31,0.66,0.71,0.95,0.12,0.72,0.92,0.83,0.43,0.91,0.79,0.44,0.34,0.83,0.65,0.42,0.75,0.73,0.83,0.76,0.63,0.86,0.85,0.61,0.8,0.64,0.46,0.55,0.67,0.41,0.55,0.19,0.85,0.7,0.83,0.91,0.56,0.25,0.87,0.78,0.87,0.72,0.36,0.74,0.48,0.88,0.22,0.28,0.49,0.72,0.63,712.4747023809524,51.97669531002268,42.34055740998665,1.4704930459279746,0.0298369402929131,1.8448724891061736,1.1685889178278264,0.3916292974588938,0.4606583077447855,50.33759815816832,0.4220309310379251,0.0483333333333333,-0.0579771035652448,729.9997919296892,42.67634998876531,39.02808145025024
sub-132,Female,25.0,White European,Questionnaire_First,Exp7,Questionaire,Credits_4,"RS: RSP ok, ECG ok, EEG TP9/10 hovered around 25-30 but other channels were ok, stopped at 7:05. TAP: RSP a bit shallow but clear peaks, EEG some TP9/10 and AF7 spikes, ECG ok. HCT: RSP ok, ECG ok, EEG some TP9/10 spikes",,0.7222222222222222,0.5599999999999999,0.6439999999999999,0.6683098591549297,0.734,0.32,0.5175,0.4679999999999999,0.665,0.58,0.7224999999999999,0.7999999999999999,0.6025,0.748,0.71,0.524,0.55,0.89,0.768,0.5275,0.3325,0.764,0.3125,0.4725,0.6475,0.9125,0.7275,0.2299999999999999,0.634,0.7357142857142858,0.764,0.6425000000000001,0.77,0.7333333333333334,1.0,0.36,0.0,0.38,0.73,0.74,0.38,0.22,0.63,0.18,0.23,0.33,0.84,0.27,0.66,0.35,0.62,1.0,0.76,0.71,0.84,0.43,0.74,0.84,0.76,0.26,0.6,0.69,0.23,0.81,0.71,0.88,0.75,0.74,0.25,0.5,0.68,0.73,0.02,0.31,0.23,0.97,0.74,0.83,0.33,0.62,0.36,0.31,0.85,0.72,0.16,0.36,0.4,0.42,1.0,0.62,0.75,0.29,0.39,0.02,1.0,0.28,0.56,0.03,0.34,0.77,0.25,0.84,0.3,0.69,0.25,0.34,0.38,0.0,0.8,0.31,0.25,0.89,0.37,0.81,0.35,0.49,0.19,0.27,0.61,0.37,0.82,0.49,0.71,0.27,0.86,0.39,0.65,0.32,0.21,0.76,0.15,0.11,0.35,0.27,0.81,0.71,0.41,0.58,0.65,0.72,0.65,0.75,0.71,0.87,0.6,0.78,0.89,0.66,0.7,0.75,0.92,0.66,0.42,0.71,0.5,1.0,0.72,0.81,0.86,0.83,0.85,0.73,0.66,0.7,0.71,0.66,0.76,0.29,0.71,0.68,0.36,1.0,0.89,0.82,0.87,0.57,0.71,0.36,0.76,0.89,0.93,0.86,0.75,0.78,0.94,0.88,0.94,0.63,0.87,0.9,1.0,890.3364312267659,62.99687565703083,43.370652530612205,1.3996152050955513,0.0127530146588269,1.8136432399554985,1.2677064362867425,0.4124293785310735,0.4726524184086235,50.43393372576409,0.7077386868084542,0.5083333333333333,-0.0289885517826224,970.3711698263425,50.67807954339455,47.697871242712175
